country,year,population,gdp,co2,coal co2,cumulative co2,land use,oil co2,decades
Brunei,1900,16978.0,186130018668.67926,0.0,9.87315466101695,4.617,0.22,20.571121822033895,1900
Brunei,1901,17540.0,186130018668.67926,0.0,9.87315466101695,4.873,0.256,20.571121822033895,1900
Brunei,1902,18120.0,186130018668.67926,0.0,9.87315466101695,5.166,0.293,20.571121822033895,1900
Brunei,1903,18719.0,186130018668.67926,0.0,9.87315466101695,5.496,0.33,20.571121822033895,1900
Brunei,1904,19338.0,186130018668.67926,0.0,9.87315466101695,5.826,0.33,20.571121822033895,1900
Brunei,1905,19977.0,186130018668.67926,0.0,9.87315466101695,6.156,0.33,20.571121822033895,1900
Brunei,1906,20638.0,186130018668.67926,0.0,9.87315466101695,6.522,0.366,20.571121822033895,1900
Brunei,1907,21286.0,186130018668.67926,0.0,9.87315466101695,6.888,0.366,20.571121822033895,1900
Brunei,1908,21921.0,186130018668.67926,0.0,9.87315466101695,7.255,0.366,20.571121822033895,1900
Brunei,1909,22541.0,186130018668.67926,0.0,9.87315466101695,7.621,0.366,20.571121822033895,1900
Brunei,1910,23145.0,186130018668.67926,0.0,9.87315466101695,8.061,0.44,20.571121822033895,1910
Brunei,1911,23354.0,186130018668.67926,0.0,9.87315466101695,8.5,0.44,20.571121822033895,1910
Brunei,1912,23566.0,186130018668.67926,0.0,9.87315466101695,8.977,0.476,20.571121822033895,1910
Brunei,1913,23976.0,186130018668.67926,0.0,9.87315466101695,9.453,0.476,20.571121822033895,1910
Brunei,1914,24393.0,186130018668.67926,0.0,9.87315466101695,9.929,0.476,20.571121822033895,1910
Brunei,1915,24818.0,186130018668.67926,0.0,9.87315466101695,10.442,0.513,20.571121822033895,1910
Brunei,1916,25250.0,186130018668.67926,0.0,9.87315466101695,10.955,0.513,20.571121822033895,1910
Brunei,1917,25690.0,186130018668.67926,0.0,9.87315466101695,11.505,0.55,20.571121822033895,1910
Brunei,1918,26123.0,186130018668.67926,0.0,9.87315466101695,12.055,0.55,20.571121822033895,1910
Brunei,1919,26549.0,186130018668.67926,0.0,9.87315466101695,12.604,0.55,20.571121822033895,1910
